date,location_id,latitude,longitude,city,region,year,month,day,day_of_week,is_weekend,is_holiday,temperature,gdp_growth,inflation_rate,workforce_demand,demand_lag_1,demand_lag_7,demand_lag_30,demand_rolling_7,demand_rolling_30,demand_rolling_90,quarter,week_of_year,days_from_start,temp_season_interaction,region_season_interaction,gdp_ma_30,inflation_ma_30,distance_from_delhi,business_count,traffic_density,avg_speed_kmph,population_density,avg_income,employment_rate,business_per_1k_population,economic_activity_index,accessibility_score,location_encoded,city_encoded,region_encoded
2022-01-31,LOC_001,28.6139,77.209,New Delhi,North,2022,1,31,0,0,0,17.3,0.074,0.033,41,25.0,31.0,41.0,34.285714285714285,32.4,32.67741935483871,1,5,30,17.3,1,0.05938333333333334,0.039779999999999996,0.0,442,0.7470247070769914,20,11320,45000,0.68,39.05,135.25,0.598,0,8,1
2022-02-01,LOC_001,28.6139,77.209,New Delhi,North,2022,2,1,1,0,1,28.6,0.0501,0.0372,46,41.0,38.0,24.0,35.42857142857143,33.13333333333333,33.09375,1,5,31,57.2,2,0.058526666666666664,0.039560000000000005,0.0,490,0.4453774536138163,32,11320,45000,0.68,43.29,149.94,0.303,0,8,1
2022-02-02,LOC_001,28.6139,77.209,New Delhi,North,2022,2,2,2,0,0,20.5,0.0445,0.0403,28,46.0,38.0,32.0,34.0,33.0,32.93939393939394,1,5,32,41.0,2,0.05816333333333334,0.03964666666666667,0.0,400,0.6704095736256549,23,11320,45000,0.68,35.34,122.4,0.516,0,8,1
2022-02-03,LOC_001,28.6139,77.209,New Delhi,North,2022,2,3,3,0,0,23.4,0.0508,0.0477,22,28.0,35.0,37.0,32.142857142857146,32.5,32.61764705882353,1,5,33,46.8,2,0.05843,0.03999666666666667,0.0,471,0.6660345325947743,23,11320,45000,0.68,41.61,144.13,0.513,0,8,1
2022-02-04,LOC_001,28.6139,77.209,New Delhi,North,2022,2,4,4,0,0,21.0,0.0681,0.0338,23,22.0,38.0,29.0,30.0,32.3,32.34285714285714,1,5,34,42.0,2,0.059003333333333324,0.04002666666666666,0.0,401,0.3150878510236317,37,11320,45000,0.68,35.42,122.71,0.199,0,8,1
2022-02-05,LOC_001,28.6139,77.209,New Delhi,North,2022,2,5,5,1,0,25.9,0.0439,0.0409,20,23.0,25.0,46.0,29.285714285714285,31.433333333333334,32.0,1,5,35,51.8,2,0.058443333333333326,0.040293333333333334,0.0,491,0.40747381551486894,33,11320,45000,0.68,43.37,150.25,0.273,0,8,1
2022-02-06,LOC_001,28.6139,77.209,New Delhi,North,2022,2,6,6,1,0,24.3,0.0476,0.0334,20,20.0,25.0,32.0,28.571428571428573,31.033333333333335,31.675675675675677,1,5,36,48.6,2,0.05841333333333333,0.04001,0.0,475,0.3043968727528828,37,11320,45000,0.68,41.96,145.35,0.192,0,8,1
2022-02-07,LOC_001,28.6139,77.209,New Delhi,North,2022,2,7,0,0,0,22.9,0.0625,0.0417,30,20.0,41.0,22.0,27.0,31.3,31.63157894736842,1,6,37,45.8,2,0.05869666666666666,0.03975666666666667,0.0,454,0.5035053637244551,29,11320,45000,0.68,40.11,138.92,0.357,0,8,1
2022-02-08,LOC_001,28.6139,77.209,New Delhi,North,2022,2,8,1,0,0,22.7,0.0629,0.0364,24,30.0,46.0,25.0,23.857142857142858,31.266666666666666,31.435897435897434,1,6,38,45.4,2,0.05852,0.03984,0.0,471,0.3334293118401209,36,11320,45000,0.68,41.61,144.13,0.213,0,8,1
2022-02-09,LOC_001,28.6139,77.209,New Delhi,North,2022,2,9,2,0,0,23.4,0.0481,0.0433,38,24.0,28.0,37.0,25.285714285714285,31.3,31.6,1,6,39,46.8,2,0.05856666666666667,0.03991666666666667,0.0,409,0.3913182855383281,34,11320,45000,0.68,36.13,125.15,0.258,0,8,1
2022-02-10,LOC_001,28.6139,77.209,New Delhi,North,2022,2,10,3,0,0,24.4,0.0716,0.0359,22,38.0,22.0,41.0,25.285714285714285,30.666666666666668,31.365853658536587,1,6,40,48.8,2,0.058993333333333335,0.03983,0.0,451,0.7923657284350523,18,11320,45000,0.68,39.84,138.01,0.65,0,8,1
2022-02-11,LOC_001,28.6139,77.209,New Delhi,North,2022,2,11,4,0,0,23.2,0.0682,0.0495,33,22.0,23.0,25.0,26.714285714285715,30.933333333333334,31.404761904761905,1,6,41,46.4,2,0.05942,0.03997,0.0,497,0.499182220648821,30,11320,45000,0.68,43.9,152.08,0.349,0,8,1
2022-02-12,LOC_001,28.6139,77.209,New Delhi,North,2022,2,12,5,1,0,19.7,0.0511,0.0359,18,33.0,20.0,38.0,26.428571428571427,30.266666666666666,31.093023255813954,1,6,42,39.4,2,0.05901666666666667,0.03989666666666667,0.0,410,0.3250743581461084,36,11320,45000,0.68,36.22,125.46,0.208,0,8,1
2022-02-13,LOC_001,28.6139,77.209,New Delhi,North,2022,2,13,6,1,0,23.0,0.0628,0.0441,19,18.0,20.0,31.0,26.285714285714285,29.866666666666667,30.818181818181817,1,6,43,46.0,2,0.05876666666666667,0.039876666666666664,0.0,449,0.38013491728271903,34,11320,45000,0.68,39.66,137.39,0.251,0,8,1
2022-02-14,LOC_001,28.6139,77.209,New Delhi,North,2022,2,14,0,0,0,26.4,0.0574,0.0536,28,19.0,30.0,31.0,26.0,29.766666666666666,30.755555555555556,1,7,44,52.8,2,0.05857,0.04016666666666667,0.0,497,0.3527927790323816,35,11320,45000,0.68,43.9,152.08,0.229,0,8,1
2022-02-15,LOC_001,28.6139,77.209,New Delhi,North,2022,2,15,1,0,1,19.4,0.0493,0.0424,46,28.0,24.0,23.0,29.142857142857142,30.533333333333335,31.08695652173913,1,7,45,38.8,2,0.058583333333333334,0.040446666666666665,0.0,488,0.8517502783406885,15,11320,45000,0.68,43.11,149.33,0.724,0,8,1
2022-02-16,LOC_001,28.6139,77.209,New Delhi,North,2022,2,16,2,0,0,24.1,0.0647,0.0396,26,46.0,38.0,42.0,27.428571428571427,30.0,30.97872340425532,1,7,46,48.2,2,0.05876333333333334,0.040266666666666666,0.0,424,0.7432755272250766,20,11320,45000,0.68,37.46,129.74,0.595,0,8,1
2022-02-17,LOC_001,28.6139,77.209,New Delhi,North,2022,2,17,3,0,0,17.5,0.0555,0.0443,23,26.0,22.0,38.0,27.571428571428573,29.5,30.8125,1,7,47,35.0,2,0.05849333333333333,0.04015333333333334,0.0,479,0.4711045602995014,31,11320,45000,0.68,42.31,146.57,0.325,0,8,1
